Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
MALL11,Shoppings,"97,15","8,49%","6,79%","0,92",734.488.000,1.182.710,5,"3.722,12","380,82","10,23%","5,36%"
MAXR11,Híbrido,"88,10","8,32%","8,79%","0,75",99.170.200,157.167,11,"1.631,34","150,22","9,21%","2,75%"
MBRF11,Outros,"830,00","11,45%","10,60%","0,73",84.381.100,56.061,2,"4.712,66","609,51","12,93%","0,00%"
MCCI11,Títulos e Val. Mob.,"102,95","6,59%","8,34%","1,03",919.076.000,2.945.200,0,"0,00","0,00","0,00%","0,00%"
MCHF11,Títulos e Val. Mob.,"10,10","0,00%","0,98%","1,05",83.907.200,348.800,0,"0,00","0,00","0,00%","0,00%"
MCHY11,Títulos e Val. Mob.,"120,00","1,17%","1,17%","1,20",424.448.000,227.275,0,"0,00","0,00","0,00%","0,00%"
MFAI11,Híbrido,"84,45","1,49%","13,71%","0,92",25.603.000,87.899,0,"0,00","0,00","0,00%","0,00%"
MFII11,Híbrido,"114,65","6,57%","10,59%","0,99",475.442.000,807.917,7,"52,39","0,00","0,00%","0,00%"
MGCR11,Títulos e Val. Mob.,"91,88","3,09%","7,70%","0,97",130.681.000,113.068,0,"0,00","0,00","0,00%","0,00%"
MGFF11,Títulos e Val. Mob.,"70,07","4,44%","9,63%","0,84",634.177.000,1.762.620,0,"0,00","0,00","0,00%","0,00%"
MGHT11,Híbrido,"95,00","4,81%","7,73%","0,96",99.566.500,21.093,1,"8.631,41","245,53","2,84%","0,00%"
MGLG11,Logística,"99,98","0,25%","0,00%","0,99",65.486.900,113.743,3,"2.754,84","0,00","0,00%","0,00%"
MORE11,Títulos e Val. Mob.,"78,80","1,84%","10,89%","0,81",182.746.000,816.985,0,"0,00","0,00","0,00%","0,00%"
MXRF11,Híbrido,"9,98","4,69%","8,69%","0,99",2.255.880.000,6.160.910,2,"11.591,00","0,00","0,00%","100,00%"
